epoch,sample_id,index,text,variant,token_accuracy,q0_accuracy,wav_path
6,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,gt_all,1.0,1.0,hybrid/epoch-06/sample_001/gt_all.wav
6,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,pred_all,0.0598958320915699,0.1875,hybrid/epoch-06/sample_001/pred_all.wav
6,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,pred_q0_to_0_gt_rest,0.94921875,0.1875,hybrid/epoch-06/sample_001/pred_q0_to_0_gt_rest.wav
6,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,gt_q0_to_0_pred_rest,0.1106770858168602,1.0,hybrid/epoch-06/sample_001/gt_q0_to_0_pred_rest.wav
6,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,pred_q0_to_1_gt_rest,0.89453125,0.1875,hybrid/epoch-06/sample_001/pred_q0_to_1_gt_rest.wav
6,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,gt_q0_to_1_pred_rest,0.1653645783662796,1.0,hybrid/epoch-06/sample_001/gt_q0_to_1_pred_rest.wav
6,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,pred_q0_to_3_gt_rest,0.78125,0.1875,hybrid/epoch-06/sample_001/pred_q0_to_3_gt_rest.wav
6,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,gt_q0_to_3_pred_rest,0.2786458432674408,1.0,hybrid/epoch-06/sample_001/gt_q0_to_3_pred_rest.wav
6,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,pred_q0_to_7_gt_rest,0.5481770634651184,0.1875,hybrid/epoch-06/sample_001/pred_q0_to_7_gt_rest.wav
6,ulsan_000006,1,그래 급속도로 빠져나가고 근육도,gt_q0_to_7_pred_rest,0.51171875,1.0,hybrid/epoch-06/sample_001/gt_q0_to_7_pred_rest.wav
6,ulsan_001843,2,가끔씩 재밌을 때도 있지만,gt_all,1.0,1.0,hybrid/epoch-06/sample_002/gt_all.wav
6,ulsan_001843,2,가끔씩 재밌을 때도 있지만,pred_all,0.046875,0.10000000149011612,hybrid/epoch-06/sample_002/pred_all.wav
